_id,CODPAIS,PAIS,HOMBRES,MUJERES
1,401,AFGANISTAN,1,1
2,101,ALBANIA,1,1
3,126,ALEMANIA,39,41
4,202,ANGOLA,0,1
5,555,APATRIDAS,6,2
6,402,ARABIA SAUDI,2,0
7,203,ARGELIA,17,13
8,340,ARGENTINA,53,61
9,148,ARMENIA,4,6
10,501,AUSTRALIA,3,1
11,102,AUSTRIA,5,1
12,404,BANGLADESH,5,1
13,103,BELGICA,9,4
14,138,BIELORRUSIA,0,6
15,341,BOLIVIA,26,28
16,342,BRASIL,58,96
17,104,BULGARIA,185,182
18,208,CAMERUN,3,5
19,301,CANADA,2,5
20,344,CHILE,20,28
21,407,CHINA,209,215
22,343,COLOMBIA,244,287
23,210,CONGO,2,0
24,211,COSTA DE MARFIL,4,2
25,314,COSTA RICA,8,9
26,146,CROACIA,3,0
27,315,CUBA,69,88
28,107,DINAMARCA,1,5
29,316,DOMINICA,1,0
30,345,ECUADOR,54,52
31,213,EGIPTO,4,4
32,317,EL SALVADOR,6,14
33,998,ESLOVAQUIA,0,1
34,108,ESPAÑA,42206,42441
35,302,ESTADOS UNIDOS,28,52
36,141,ESTONIA,0,1
37,409,FILIPINAS,5,13
38,109,FINLANDIA,1,8
39,110,FRANCIA,69,73
40,215,GABON,3,4
41,216,GAMBIA,1,0
42,139,GEORGIA,2,4
43,217,GHANA,3,0
44,111,GRECIA,5,1
45,319,GUATEMALA,6,3
46,218,GUINEA,4,0
47,219,GUINEA BISSAU,2,0
48,220,GUINEA ECUATORIAL,19,28
49,320,HAITI,1,1
50,321,HONDURAS,26,69
51,112,HUNGRIA,9,11
52,410,INDIA,20,21
53,411,INDONESIA,2,1
54,413,IRAN,30,30
55,412,IRAQ,9,8
56,113,IRLANDA,11,19
57,414,ISRAEL,1,0
58,115,ITALIA,236,213
59,415,JAPON,9,14
60,416,JORDANIA,4,1
61,443,KAZAJSTAN,0,2
62,430,KOREA DEL SUR,11,18
63,136,LETONIA,1,2
64,224,LIBIA,8,6
65,142,LITUANIA,1,7
66,227,MALI,5,3
67,228,MARRUECOS,522,452
68,303,MEXICO,12,34
69,137,MOLDAVA,9,9
70,231,MOZAMBIQUE,0,1
71,424,NEPAL,1,0
72,323,NICARAGUA,9,22
73,234,NIGERIA,7,8
74,120,NORUEGA,4,4
75,499,OTROS PAISES DE ASIA,0,1
76,121,PAISES BAJOS,12,8
77,426,PAKISTAN,9,3
78,324,PANAMA,2,4
79,347,PARAGUAY,27,66
80,348,PERU,113,128
81,122,POLONIA,51,93
82,123,PORTUGAL,90,87
83,125,REINO UNIDO,49,36
84,143,REPUBLICA CHECA,2,9
85,326,REPUBLICA DOMINICANA,28,42
86,144,REPUBLICA ESLOVACA,0,4
87,237,RUANDA,1,0
88,128,RUMANIA,1830,1976
89,154,RUSIA,10,38
90,239,SENEGAL,34,28
91,157,SERBIA,1,2
92,155,SERBIA Y MONTENEGRO,0,1
93,241,SIERRA LEONA,2,0
94,433,SIRIA,21,21
95,242,SOMALIA,1,0
96,236,SUDAFRICA,2,1
97,131,SUECIA,7,5
98,132,SUIZA,3,2
99,247,TOGO,2,0
100,248,TUNEZ,1,2
101,436,TURQUIA,1,6
102,135,UCRANIA,47,76
103,350,URUGUAY,22,25
104,447,UZBEKISTAN,1,1
105,351,VENEZUELA,303,388
106,437,VIETNAM,3,1
107,252,ZIMBABWE,1,0
